reference|nom|prix_ttc|base_lppr|code_lppr|categorie|badges|image_url|description|points_forts|expert|specs|documents|recommande
HX_HEIC26110118|Ophtalmoscope Heine Beta 200S|473.01||||||"""""Idéal pour l'examen des petites pupilles ou de pupilles non dilatées. Ophtalmoscope longue durée.  Trousse BETA 200S LED 2,5V. BETA Poignée à piles. Ophtalmoscope direct conçu pour une image du fond d’œil nette, lumineuse et sans reflets, grâce à un système optique asphérique (AOS) et une LEDHQ à très longue durée de vie.  Compact, robuste et facile à utiliser, il est parfait pour les examens mobiles et s’adapte à toutes les situations grâce à 7 diaphragmes, dont un MicroSpot pour les pupilles très petites ou non dilatées.   Diagnostic précis : • Image claire et sans reflets grâce à la séparation des faisceaux d’éclairage et d’observation. • Excellente adaptation à l’orbite pour bloquer la lumière ambiante. • 74 réglages de dioptrie (de -36 à +38 D) sans sauts brusques. • Diaphragme MicroSpot pour les pupilles fines. • 7 diaphragmes, compatibles avec filtre sans rouge. Éclairage optimal : • Gradation continue brevetée de 3 à 100 %. • LEDHQ puissante, idéale même pour les lentilles opaques. • Pas de lumière parasite grâce à une fenêtre d’observation encastrée. Durabilité exceptionnelle : • LED sans remplacement nécessaire. • Conception étanche à la poussière, sans entretien. • Structure résistante aux chocs en fonte d’aluminium. • Garantie 5 ans. Utilisation simplifiée : • Manipulation à une seule main. • Forme ergonomique pour une grande flexibilité d’examen."""""|||||
HX_HEIK00024207|Petit embout de contact pour DELTAone|128.43||||||"""""L'unité.Embout de contact conçu pour l'examen des lésions cutanées situées dans des zones difficiles d'accès ou pour les examens délicats. """""|||||
HX_HER421414|Table de lit avec piètement 3 positions Diffusion|62.3||||||"""""Table de lit r&eacute$$glable pour une utilisation assis ou couch&eacute$$.Le confort pour les personnes alitéesCette table de lit en ronce de noyer est extrêmement pratique pour les personnes à mobilité réduite ou dans l'impossibilité de se déplacer. Elle s'adapte à tous les lits et tous les fauteuils grâce à ses 3 positions, dont une position inclinée à 15°. Equipée d'un jonc anti-poussière pour poser un livre par exemple, cette table de lit peut être utilisée pour le repas ou pour tout divertissement. Caractéristiques de la table de lit avec piètement 3 positions Plateau orientable plaqué bordé d'un jonc renforcé anti-poussière. S'utilise assis ou couché. Hauteur réglable de 61 à 94 cm. 4 roulettes dont 2 avec frein. Rangement facile. Coloris : ronce de noyer. Dim. : 40 x 60 cm. Fabrication française.   Dont 0,83 € d'eco participation mobilier."""""|||||
HX_HER421514|Table spéciale pour fauteuil releveur Diffusion|87.9||||||"""""Dimensions : 80 x 40 cm Coloris : Ronce de noyer Supporte jusqu'à 10 kg. Plateau inclinable.La table Diffusion possède un piètement extra large et inclinable permettant son utilisation compatible avec un fauteuil releveur (tous modèles sauf XXL). Le plateau dispose d'un jonc anti-poussière et protecteur, servant également de repose livre.	Caractéristiques techniques : • Matériaux : acier, mélaminé, pvc et polypropylène. • Coloris : ronce de noyer ou cérusé. • Poids supporté : 10 kg. • Dimensions : Largeur 80 x profondeur 40 cm. • Dimension interne du piétement : 76 cm. • Fabriqué en France. • Garantie : 2 ans.Les + du produit : • Large piétement. • Plateau inclinable de 0 à 90°. • Hauteur réglable. • 2 roulettes avec frein. • Tube acier traité époxy. • Position de réglage intermédiaire. • Plateau ronce de noyer bordé d’un jonc renforcé anti-poussière. """""|||||
HX_HER421000|Tablette de lit Easy Gris Perle|31.21||||||"""""Table de lit r&eacute$$glable.Pour faciliter l'alitementLa tablette de lit Easy est une tablette de lit très pratique qui se glisse facilement sous n'importe quel lit. Sa tablette permet de prendre ses repas, de poser un livre ou tout autre divertissement (tablette tactile, ordinateur, etc.). La tablette se règle en hauteur de 70 à 105 cm. Caractéristiques de la tablette de lit Easy Plateau réglable latéralement, en hauteur et en rotation. Hauteur réglable de 70 à 105 cm. Avec jonc anti-choc. Coloris : gris perle. Dim. : 40 x 60 cm.    Dont 0,83 € d'eco participation mobilier."""""|||||
HX_HER421118|Tablette de lit inclinable avec 2 plateaux Twin Easy|24.05||||||"""""Tablette de lit avec 2 plateaux dont 1 inclinable.Une tablette de lit deux-en-un pour personnes âgées La tablette de lit Twin Easy est une tablette de lit très solide et pratique puisqu'elle se compose de deux plateaux : un inclinable (avec réglette et système de crémaillère), et un fixe. Sa robustesse lui permet de supporter un poids allant jusqu'à 15kg. Le tableau inclinable est équipé d'une réglette permettant d'y poser un ordinateur portables, une tablette, un livre ou une feuille par exemple. Vous pouvez donc vous servir de cette tablette de lit Twin Easy pour manger, mais aussi pour vous divertir.Les pieds de cette tablette sont rabattables, ce qui la rend très pratique puisque facilement transportable et rapidement rangée.Le cadre de la tablette est en acier époxy tandis que les plateaux sont en mélaminés façon merisier. Ses rebords permettent de maintenir les objets et éviter tout accident. La fonctionnalité pliable permet de la ranger facilement. Pas de montage, après livraison, son utilisation est immédiate. Les avantages de la tablette de lit inclinable Twin Easy 2 plateaux dont 1 inclinable.Pieds rabattables.Réglette repose livre.Dim. grand plateau : 35,5 x 40 cm (inclinable).Dim. petit plateau :  35,5 x 20 cm.Coloris : marron imitation bois.Garantie 2 ansSupporte un poids de 15 kg   Dont 0,18 € d'eco participation mobilier."""""|||||
HX_HER500400|Rehausse WC 11 cm  Clipper I|12.52||||||"""""Clipper I : simple.Les WC tout confort, spécial personnes âgéesLe réhausse WC Clipper I réhausse vos toilettes de 11 cm pour plus de confort et moins d'efforts. Parce qu’il est parfois difficile de s’asseoir et de se relever de WC trop bas par exemple, il est essentiel de pouvoir se rendre au WC de manière indépendante, en toute sécurité et en toute sérénité. Le rehausseur de WC Clipper I se positionne sur votre cuvette de toilette. Il s'adapte et s'installe facilement sur tous types de toilettes. Caractéristiques du réhausse WC Clipper I: Forme anatomique. Equipé de pattes de réglage.  Patins antidérapants  et anti-rayures. Hauteur : 11 cm. Poids max. : 185 kg.  Fabrication française. """""|||||
HX_DIS6282596|Electrostimulateur Paingone Fllow expert|220.41||||||"""""Le dispositif qui soulage les jambes lourdes et douloureuses Fllow est le dispositif médical de dernière génération, certifié CE, qui améliore la circulation sanguine dans les pieds et les bas des jambes, soulage les jambes lourdes et douloureuses mais aussi les crampes. Spécialement étudié pour les personnes soufrant de:- Mauvaise circulation - Arthrose - Diabète Fonctionnement du Paingone Fllow :L’électrostimulation musculaire (EMS) utilisée par Fllow stimule les muscles des jambes. L’exercice contraction - décontraction des muscles favorisent la circulation du sang et le fait remonter vers le cœur. La circulation sanguine dans les jambes est ainsi améliorée.  20 minutes par jour de Fllow permet de ressentir les bienfaits sur la circulation.  Les avantages du Paingone Fllow :- efficace et simple d’utilisation à la fois - 150 niveaux d'intensité - 25 formes d'ondes gérées de façon automatique - 36 heures d'autonomie et rechargeable - 3 modes à utiliser individuellement ou simultanément - utilisation assise ou couchée Vidéo de Mercotte, ambassadrice et utilisatrice de Fllow  Contre-indications d'utilisation : – Si vous souffrez d’épilepsie ou d’une maladie cardiaque, d’une  tumeur maligne, d’une maladie vasculaire cérébrale grave ou d’une autre  maladie aiguë, suspectée ou confirmée, sauf sur autorisation médicale  préalable par un spécialiste.– En cas d’hémorragie après un traumatisme aigu ou une fracture, ou en cas de convalescence après une intervention chirurgicale.– Si vous êtes enceinte.– Si vous portez un stimulateur cardiaque ou un autre dispositif électrique actif implanté.– Chez les enfants ou les personnes qui n’ont pas la capacité d’exprimer leur état de conscience.–  Si l’on vous a diagnostiqué une thrombose veineuse profonde (« TVP »)  ou si vous avez des raisons de penser que vous en souffrez.– La TVP peut être asymptomatique ou présenter les symptômes suivants :Douleur  lancinante ou crampe dans une jambe (rarement dans les deux),  généralement dans le mollet, ou gonflement dans une cuisse (rarement  dans les deux)Sensation de chaleur sur la peau autour de la zone douloureusePeau rouge ou foncée autour de la zone douloureuseVeines enflées, dures ou douloureuses au toucherApprenez à reconnaître les signes et consultez un médecin si vous avez des hésitations.Ne  pas utiliser si vous avez, dans la zone traitée, un cancer actif ou  suspecté ou une douleur non diagnostiquée avec des antécédents de  cancer. La stimulation électrique directe d’une tumeur maligne confirmée  ou suspectée doit être évitée car elle peut stimuler la croissance et  favoriser la propagation des cellules cancéreuses. Dont 0,04 € d'eco participation mobilier."""""|||||
HX_FRATRI019|Mallette médicale Clara Medbag|28.56||||||"""""Mallette Médicale Clara Medbag Gris et Rose La mallette médicale Clara Medbag est spécialement conçue pour répondre aux besoins des médecins et infirmières libérales.  Avec son design souple et compact, elle offre une solution pratique et fonctionnelle pour le transport et le stockage des équipements médicaux essentiels lors des consultations à domicile ou en cabinet.   Caractéristiques techniques :     Mallette souple idéale pour les médecins et les infirmiers libéraux.     Dimensions: 31 x 30 x 22 cm (L x l x H).     Fabriquée en tissu très résistant et imperméable pour une durabilité accrue.     Bandoulière incluse pour un transport confortable et pratique     Garantie 1 an La mallette médicale Clara Medbag est parfaitement adaptée pour les professionnels de santé qui effectuent des visites à domicile, des consultations en cabinet ou des interventions médicales en milieu ambulatoire. Son design compact et fonctionnel permet de transporter facilement le matériel médical nécessaire pour assurer des soins de qualité à leurs patients. Contenu de la mallette :     Espace de rangement principal spacieux pour les instruments médicaux essentiels.     Poches internes pour organiser et sécuriser les petits accessoires.     Bandoulière réglable pour un transport confortable sur l'épaule.     Couleur : Gris et Rose   La mallette médicale Clara Medbag est un choix idéal pour les professionnels de santé soucieux de la qualité, de la praticité et du style lors de leurs déplacements. Sa conception durable et fonctionnelle garantit une utilisation fiable dans les situations médicales les plus exigeantes. Note: Les spécifications techniques et les fonctionnalités sont susceptibles de changer sans préavis. Veuillez vous référer aux informations fournies par le fabricant pour les données les plus récentes. Vendue à l'unité.  """""|||||
HX_FRATRI014|Malette Swing Medbag Prune|30.64||||||"""""Coloris : prune.Mallette Swing Medbag Prune La mallette Swing Medbag est spécialement conçue pour répondre aux besoins des médecins et infirmiers intervenant à domicile. Dotée d'un design souple et spacieux, elle offre une solution pratique et sécurisée pour le transport du matériel médical essentiel lors des visites médicales mobiles. Avec ses nombreuses fonctionnalités et sa construction durable, la Swing Medbag est un choix idéal pour les professionnels de santé mobiles à la recherche de praticité et de fiabilité.   Caractéristiques techniques :     Mallette souple idéale pour les médecins et les infirmiers intervenant à domicile.     Dimensions: 50 x 25 x 25 cm (L x l x H).     Fabriquée en tissu très résistant et imperméable pour une durabilité accrue.     Poche principale modulable grâce à ses séparateurs en velcro pour une organisation personnalisée du matériel médical.     3 poches externes pour un rangement supplémentaire :     Deux poches latérales (Dimensions: 18 x 21 x 3 cm chacune)     Une poche frontale (Dimensions: 33 x 21 x 2 cm)     Range documents sur la partie supérieure de la poche centrale pour un accès facile aux documents importants     Disponible en 4 coloris attrayants: Gris (TRI013), Prune (TRI014), Orange (TRI015) et Bleu (TRI016).     Garantie 1 an.   La mallette Swing Medbag est idéale pour les professionnels de santé mobiles tels que les médecins généralistes, les infirmiers libéraux, les kinés et les physiothérapeutes qui effectuent des consultations à domicile.  Sa conception pratique et résistante garantit un transport sûr et efficace du matériel médical, assurant ainsi des soins de qualité à leurs patients où qu'ils soient.  La mallette Swing Medbag Prune est un choix économique, résistant et pratique pour les professionnels de santé mobiles. Son design fonctionnel et sa construction de qualité en font un accessoire indispensable pour les visites médicales en déplacement. Note : Les spécifications techniques et les fonctionnalités sont susceptibles de changer sans préavis. Veuillez vous référer aux informations fournies par le fabricant pour les données les plus récentes. Vendue à l'unité.  """""|||||
HX_FRAOXY16|Oxymètre pédiatrique Oxy One Kid|18.67||||||"""""Oxymètre de pouls pédiatrique Oxy One Kid """"Tête de tigre"""". L'oxymètre de pouls pédiatrique Oxy One Kid de la marque One Medical est un dispositif essentiel conçu pour mesurer la saturation en oxygène du pouls et la fréquence cardiaque chez les enfants pesant entre 10 et 40 kg.. Son design ludique en forme de tête de tigre rend la prise de mesure agréable et sans stress pour les enfants, assurant ainsi une utilisation aisée dans divers contextes, de la maison à l'hôpital.   Caractéristiques techniques : • Design pédiatrique : Conçu spécialement pour les enfants pesant entre 10 et 40 kg, avec une forme ludique de tête de tigre pour une expérience sans stress. • Affichage avancé : Écran LCD 2 couleurs 160x80 px, affichage de la SpO2, du pouls avec graphique à barres, et de la forme d'onde. • Simplicité d'utilisation : Bouton unique pour une utilisation intuitive. • Personnalisation : Rotation de l'écran (horizontale/verticale) et réglage de la luminosité pour une expérience utilisateur optimale. • Mesures précises : Plages de mesure SpO2 de 0% à 100% avec une précision de ±2%, plages de mesure pouls de 30 BPM à 250 BPM avec une précision de ±2 bpm ou ±2%. • Fonctionnalités additionnelles : Indicateur de piles faibles, extinction automatique pour économie d'énergie. • Alimentation : Fonctionne avec 2 piles AAA, offrant une durée de vie des piles d'environ 20 heures. • Garanti 18 mois.   Mentions obligatoires : • Dispositif médical de classe IIa portant le marquage CE. • Dénomination : Oxymètre de pouls Oxy One Kid (CMS50Q1). • Destination : Appareil de mesure du pouls ou saturation pulsée en oxygène pour enfants. • Instructions : Lire attentivement les instructions figurant dans la notice ou sur l’étiquetage."""""|||||
HX_FRAEDA037|Couvre-sonde PR M3A + MC520/521|27.18||||||"""""Boite de 200.Couvre sonde M3A Les couvre-sondes M3A sont spécialement conçus pour une utilisation avec les thermomètres de type M3A. Ils garantissent une mesure précise et hygiénique, tout en protégeant la sonde du thermomètre. Caractéristiques principales     Compatibilité : Adaptés aux thermomètres M3A, MC520 et MC521              Type de produit : Couvre-sondes jetables pour un usage unique                Avantages produit     Assure une hygiène optimale lors de chaque utilisation     Prévient la contamination croisée entre les patients              Faciles à installer et à retirer de la sonde      Utilisation Conçus pour un usage en milieu médical ou à domicile, les couvre-sondes M3A sont idéaux pour garantir la précision des mesures tout en respectant les normes d’hygiène."""""|||||
HX_FRAEDA031|Oxymètre de pouls professionnel Edan H100B|5.11||||||"""""Unité.Papier ECG SE-300B Le papier ECG SE-300B est spécialement conçu pour une utilisation avec les électrocardiographes EDAN SE-300B, assurant une qualité d’impression optimale pour des tracés ECG précis et fiables.   Caractéristiques principales     Dimensions : 80 mm x 20 mm     Compatibilité : Adapté à l'électrocardiographe EDAN SE-300B et SE 301     Type de papier : Papier thermique haute sensibilité pour des impressions nettes et durables     Conditionnement : Vendu par rouleau   Avantages produit     Assure une excellente lisibilité des tracés pour une interprétation clinique précise     Compatible avec les appareils EDAN pour un usage fiable et sécurisé              Facile à charger dans l’équipement                Utilisation Conçu pour un usage dans les environnements médicaux, le papier ECG SE-300B est idéal pour les hôpitaux, cliniques, et cabinets médicaux."""""|||||
HX_OWE7224501|Bandelettes de cétonémie pour lecteur Freestyle NEO H|50.55||||||"""""Boîte de 50. Les bandelettes de test de ß-cétonémie FreeStyle Precision Pro, FreeStyle Precision H et FreeStyle Optium H sont des dispositifs médicaux de diagnostic in vitro conçus pour mesurer automatiquement et de manière quantitative le ß-hydroxybutyrate (cétone) dans le sang capillaire frais prélevé au bout du doigt, ou dans le sang veineux. Elles sont destinées au suivi de la cétonémie chez les personnes atteintes de diabète sucré et présentant une cétose, y compris en cas d’acidocétose diabétique."""""|||||
HX_FRIGLATPFXL|Gants d'examen latex non poudrés - XL - 9/10 - Boîte de 100|3.24||||||"""""Taille : XL - 9/10.  Dimensions : 240 x 120 mm.  Boîte de 100.Gants d’examen en latex, à usage unique, ambidextres et non poudrés, offrant une grande souplesse et une excellente résistance. Conçus pour un usage médical, ces gants garantissent un confort optimal et une bonne dextérité. Manchettes roulées, texturés au bout des doigts. Ces gants contiennent du latex naturel et ne doivent pas être utilisés en cas d'allergie ou de risque d'allergie au latex. Caractéristiques : • Taille : XL (9/10). • Dimensions : 240 x 120 mm. • Couleur : Jaunes. • Conditionnement : Boîte de 100 gants. • Composition : 	o Latex • Normes et certifications : 	o Normes : DM 93/42/CEE - EN 455 (1/2/3/4). 	o Certifications : ISO 9001 - ISO 13485."""""|||||
HX_GIL612663|Huile d’amande douce|3.2||||||"""""•  Véritable produit de soin pour les peaux sèches et sensibles.  •  100 % naturelle, obtenue par pression à froid, elle est riche en  acides gras permettant d'assouplir la peau  et prévenir du dessèchement  lié aux agressions extérieures.  •  Réparation du cheveu fragilisé.L'huile d'amande est l'une des plus douces et des meilleures huiles végétales naturelles. C'est  pour cette raison qu'elle est recommandée pour la peau fragile des  touts-petits. Véritable produit de soin pour toutes les peaux mais aussi  le cuir chevelu de bébé.L’application de l’huile d’amande douce favorise la régénération du  film hydrolipidique de la peau, protection essentielle pour les bébés.Elle laisse un film protecteur sur la peau, la peau est nourrit et  apaisée grâce à aux acides gras essentiels polyinsaturés de type oméga 3  contenus dans l'huile d'amande douce Gilbert. L'application quotidienne renforce alors la barrière cutanée. La peau résiste ainsi mieux aux agressions extérieures.Utilisée pour le cuir chevelu fragilisé, elle en favorise la  réparation. Les cheveux de bébé seront plus souples et plus doux. Les  sensations d’inconforts et de tiraillement du cuir chevelu sont  apaisées.Flacon de 60 ml.100% huile amande douce. """""|||||
HX_GIL612731|Alcool à 70° vol. 250 ml. (Présenté.)|0.86||||||250 ml. (Présenté.)Pour l’antisepsie de la peau saine Bio. Ancienne référence GIL612705|||||
HX_GIL613725|Gel apaisant arnica Arnicrise - Tube 50 ml|2.25||||||"""""Soulage efficacement les douleurs liées aux chocs.Le gel intervient délicatement et efficacement sur la zone.Diminue les sensations d'inconfort dès la pose. S'étale facilement et ne laisse pas la peau collante.Tube de 50 ml. """""|||||
HX_GIL612733|Eau oxygénée 10 vol. flacon de 250 ml|1.15||||||"""""Antiseptie des plaies et brûlures superficielles et peu étendues. """""|||||
HX_GIL612005|Alcool à 70° vol. 5 litres.|12.53||||||"""""5 litres.Bidon de 5 litres d'alcool à 70 degrésSpécial antisepsie de la peau et des plaies superficielles. Parfumé au camphre, ce liquide permet aussi de nettoyer et de désinfecter les dispositifs médicaux comme des ciseaux, thermomètre, pince à épiler. Mode d'emploi : Verser l'alcool sur la surface ou sur une compresse de gaze.  5 ml d'alcool suffisent à traiter 500cm² de surface à désinfecter. Précautions d'emploi  :  Ne pas utiliser sur les enfants de moins de 3 ans. Tenir à l'écart de la chaleur et des étincelles, et ne pas laisser à proximité. Ne pas respirer les vapeurs. Éviter le contact avec les yeux. """""|||||
HX_GIL606768|Cold cream Tube de 50ml.|1.42||||||Tube de 50ml.Emulsion riche en agents aux propriétés rééquilibrantes et apaisantes. Pour le soin des peaux sèches, déshydratées ou sensibles du bébé ou de l'adulte. Formulation à base de 86 % de phase lipophile. Protection efficace des épidermes sensibles vis-à-vis des agressions extérieures. Contribue à la restauration du film lipidique. Nouvelle référence GIL612676|||||
HX_GIL621724|Lotion asséchante Sensimyl|6.63||||||"""""Spray 100 ml. Des actifs ciblés pour assainir la zone irritée et rétablir l’équilibre de la flore cutanée. Réduit le grattage grâce à son trio d'oligo-éléments et le complexe silver-skin. Le cuivre : restaure la barrière cutanée. Le zinc : favorise la cicatrisation. La manganèse : stimule les défenses naturelles. Les microparticules d'argent assainissent. Les prébiotiques stimulent et renforcent les bons micro-organismes au détriment des mauvais. La microcristalline cellulose produit une action asséchante."""""|||||
HX_GIL621714|Spray chlorhexidine désinfectant 0,5 % Septimyl|1.89||||||"""""Spray chlorhexidine d&eacute$$sinfectant La chlorhexidine pour combattre les bactéries et les levures   Pratique et hygiénique, il permet un soin sans contact cutané. Action assainissante et purifiante de la peau. Activité bactéricide et fongicide conforme aux normes EN 1040 et EN 1275. Le pulvérisateur de 100 ml. Fabrication française Utilisez les biocides avec précaution. Avant toute utilisation, lisez l’étiquette et les informations concernant le produit.  """""|||||
HX_GIL612745|Anti-adhésif|3.13||||||"""""Anti-adh&eacute$$sif Pour pansements et sparadraps  Facilite le décollement des pansements adhésifs. Permet d’éliminer les traces de masse adhésive. Le flacon de 125 ml.                                             Conseils d'utilisation                                                                                                                         A l'aide d'un coton imbibé, appliquer entre la peau et le pansement sans toucher la plaie, en tirant doucement sur le sparadrap. Essuyer systématiquement et soigneusement toute trace du produit après utilisation et notamment au niveau des zones de plis. """""|||||
HX_GIL686091|Liniment oléocalcaire 480ml Pompe BIO|4.38||||||"""""480 ml, pompe.Crème naturelle pour nettoyer la peau des bébésSoin d’origine naturelle, sans conservateur, destiné au nettoyage des peaux fragiles des nourrissons *.Limite les allergiesDésinfecte contre les bactéries et microbes Composition traditionnelle de solution de calcium (eau de chaux) et d’huile d’olive reconnue pour ses propriétés émollientes et protectrices.Texture adaptée à la toilette et au soin du siège. Il forme un film protecteur qui aide à prévenir les rougeurs. La peau est nourrie et protégée.Testé sous contrôle pédiatrique et dermatologique.Formule stabilisée sans sels d’aluminium.Le flacon de 480 ml. * Ne pas utiliser chez les bébés prématurés."""""|||||
HX_GIL612004|Alcool à 70° - 1 litre|2.41||||||"""""1 litre.Désinfection de la peau saine et du petit matériel médicalAntiseptique local, le flacon Gilbert est composé à 70% d'éthanol, il est utilisé avant une piqure ou pour l'hygiène avant une opération.Son action est rapide et puissante, il détruit les bactéries sur la peau mais aussi l'outillage médical. Propriétés frongicides, bactéricides et levuricides. Son odeur (lié au camphre) permet de ne pas le confondre avec de l'alcool à consommer par voix orale.Fabrication françaiseContenance : 1 litre """""|||||
HX_GIL612869|Alcool à 70° - 500 ml|1.47||||||"""""500 ml. (Présenté.)Désinfection de la peau saine et du petit matériel médicalAntiseptique local, le flacon Gilbert est composé à 70% d'éthanol, il est utilisé avant une piqure ou pour l'hygiène avant une opération.Son action est rapide et puissante, il détruit les bactéries sur la peau mais aussi l'outillage médical. Propriétés frongicides, bactéricides et levuricides. Son odeur (lié au camphre) permet de ne pas le confondre avec de l'alcool à consommer par voix orale.Fabrication françaiseContenance : 500 ml """""|||||
HX_GIL612874|Sérum physiologique stérile La boite de|4.57||||||La boite de 100 doses de 5 ml.La boite de 100 doses. Ancienne référence GIL613714|||||
HX_GIL612662|Vaseline tube de 100 ml|1.65||||||"""""Pommade lubrifiante et protectricePour les peaux très sensibles, sèches ou abimées.Spéciale adultes incontinents. La vaseline protège les couches superficielles de l’épiderme des agressions extérieures et renforce la barrière cutanée. La peau est nourrie et adoucie. Elle est plus souple et plus élastique. Après application, les sensations d’inconforts de la peau sont apaisées. Le produit forme un film protecteur sur la peau et aide à réduire l’apparition des rougeurs. Laboratoire français Gilbert """""|||||
HX_GIL612659|Talc de venise boite poudreuse de 100 g|3.35||||||"""""Le talc apaisant et absorbant l'humiditéEfficace pour les peaux fragiles, notamment pour les adultes incontinents, c'est l’incontournable des pharmacies à domicile. Il laisse la peau douce grâce aux propriétés du silicate de magnésium.Il est garanti sans conservateur, sans parabène et sans parfum. """""|||||
HX_GIL612876|Sérum physiologique stérile 50 ml|9.95||||||"""""Physiodose : l'indispensable de la trousse à pharmacieBoite de 32 doses. Ce liquide physiologique est composé d'eau purifiée et de chlorure de  sodium (sel) à 0,9%. Grâce à sa composition isotonique, il est toléré  par les cellules du corps humain.  Multi-usages, le serum physiologique en dosette est quotidiennement utilisé pour le soin des yeux, le soin du nez et le soin des oreilles des bébés. Il peut également être utilisé chez les adultes, pour les mêmes usages et pour le lavage des plaies.100 % recyclable : Physiodose est entièrement conçue en plastique d’origine végétale provenant de ressources renouvelables.   """""|||||
HX_GIL612867|Alcool à 70° 125 ml|0.82||||||"""""125 ml. (Présenté.)Pour l’antisepsie de la peau saine. Existe également en 250 ml,  500 ml, 1 litre, 5 litres et 10 litres. """""|||||
HX_GIL612858|Huile de massage et de soin|1.11||||||"""""L'huile qui répare, nourrit, protège et renforceL’huile de massage et de soins Gilbert présente de multiples avantages. Riche en vitamines A, B, D, E, en protéines, en sels minéraux et en matières nutritives, l’huile de massage et soin ravira votre peau.Elle répare et nourrit ainsi votre peau en profondeur. Très réputée grâce à ses propriétés nourrissantes et apaisantes, elle constitue également un produit de soin naturel pour tout type de peau.Enrichie en huile d’amande douce et en huile de coprah, cette huile de massage et de soin peut être utilisée pour des massages classiques ou des soins d’effleurage chez des personnes alitées ou en fauteuil.Contribuant à renforcer et à entretenir le film hydrolipidique naturel qui protège l’épiderme, cette huile hypoallergénique, sans parabène ni conservateur, est bien adaptée aux peaux sèches et sensibles. Son aspect incolore facilite la recherche de rougeurs et permet de mieux cibler les zones à masser (contribuant ainsi à une meilleure prévention de la formation des escarres).Pratique ! Son petit volume de 50 ml permet de dédier un flacon par personne ou par patient. Plus facile à manipuler et plus hygiénique.Bouchon type goutte à goutte pour un meilleur dosage. """""|||||
HX_GIL612857|Huile de Massage et de soin|1.66||||||"""""Le spray individuel 50 ml. Cet huile de massage et de soin est idéale pour des massages et pour la surveillance des points d'appui lors de la réalisation des soins d'effleurage. Son aspect incolore facilite la recherche des rougeurs. Hypoallergénique*, formule à 99,3 % d'origine naturelle à base de dérivés d'huile de coprah enrichie en huile d'amandes douces.Formulé pour minimiser les risques d'allergies.Le spray individuel 50 ml. """""|||||
HX_GIL612870|Solution nettoyante sans rinçage Le flacon|2.56||||||Le flacon de 500 ml.Unifie et protège la peau.Pour le visage et pour le corps des peaux sensibles.Minimise les inflammations cutanées.Formulée sans alcool, sans paraben et sans phenoxyétanol.Testée sous contrôle dermatologique et ophtalmologique.Flacon de 500 ml.Ancienne ref. GIL612670|||||
HX_GIL621715|Chlorhexidine aqueuse à 0,5 % Septimyl unidose 5|1.32||||||"""""Unidose stérile de 5 ml. L'étui de 10 unidoses.Stérile. Boite de 10 doses de 5 ml. Ancienne ref. GIL612707 """""|||||
HX_GIL626725|Sérum physiologique stérile - 10 ml|2.95||||||"""""La solution de chlorure de sodium stérile à 0,9 % est un sérum physiologique hygiénique et sûr, présenté en 30 unidoses de 10 mL.La solution de chlorure de sodium stérile à 0,9 % est un sérum physiologique stérile, sans conservateur,  non injectable. Présentée carton de 30 unidoses de 10mL, la solution de chlorure de sodium stérile à 0.9% est hygiénique et  permet facilité et sécurité d’emploi. """""|||||
HX_GLOJ294LMR|Rouleaux de draps lisses blancs - Pure ouate pour examen - 70 x 35 cm|25.12||||||"""""Dimensions : 70 x 35 cm.   135 formats prédécoupés.  2 plis.   Cartons de 6. Draps d'examen blancs 70 cm x 35 cm offrant une solution de qualité supérieure pour vos cabinets médicaux, de kinésithérapie ou d'ostéopathie.  Fabriqués en France à partir de 100% pure ouate non chlorée, ils garantissent un confort optimal et une protection efficace.  Adaptés aux tables d'examen de grandes dimensions, ces draps combinent praticité et grande capacité d'utilisation pour un excellent rapport qualité-prix. Caractéristiques principales : • Matériau : 100% pure ouate non chlorée, offrant une douceur et une protection optimale pour les patients. • Confort : Standard 2 plis lisses, assurant une utilisation facile et rapide tout en garantissant la propreté durant les examens. • Dimensions : 	o Laize : 70 cm. 	o Prédécoupe : 35 cm. 	o  135 formats. • Utilisation : Idéaux pour les tables d'examen de grandes dimensions, ces draps sont parfaitement adaptés aux environnements médicaux, notamment pour les consultations en cabinet, en kinésithérapie ou en ostéopathie. • Hygiène : La conception en 2 plis lisses et la fabrication française garantissent des standards élevés d’hygiène, assurant ainsi le bien-être et la sécurité des patients."""""|||||
HX_GLOI386GSM|Papier toilette - Rouleaux domestiques|17.34||||||"""""Carton de 12 sachets de 4 rouleaux. • 100% pure ouate. • 200 formats de 11 cm. • Mandrin de 45 mm. • Laize de 9,4 cm."""""|||||
